date,open,high,low,close,volume,cnt_ai,cnt_war,avg_tone,return,log_return
2021-04-09,23.46,24.35,23.37,24.04,54082700,6.0,423718.0,-1.426828948729568,0.02691157624946605,0.026555828164187556
2021-04-12,24.52,24.55,22.73,23.34,68620800,21.0,362657.0,-1.3857398439127202,-0.02911813643926786,-0.029550482808597067
2021-04-13,23.19,25.659,23.12,25.42,83913500,18.0,425760.0,-1.5091899723636533,0.0891173950299915,0.08536763890289834
2021-04-14,25.35,26.2,23.65,23.7,108793800,10.0,440568.0,-1.4844889459187995,-0.06766325727773415,-0.07006121762022266
2021-04-15,24.01,24.06,22.69,23.15,58849300,15.0,436364.0,-1.5134647655481297,-0.02320675105485237,-0.023480267608842365
2021-04-16,22.86,23.26,22.3,22.47,46627700,28.0,410798.0,-1.5125661413724292,-0.02937365010799131,-0.02981369433500536
2021-04-19,22.15,22.33,21.53,21.94,45753900,17.0,365922.0,-1.5109487753108215,-0.023587004895415986,-0.023869631350153853
2021-04-20,21.96,22.55,21.24,21.78,47123100,39.0,414657.0,-1.5607989339640913,-0.007292616226071136,-0.007319337342269527
2021-04-21,21.65,22.64,21.43,22.63,42641400,30.0,397493.0,-1.5956289739872858,0.0390266299357207,0.03828434214063137
2021-04-22,22.94,23.51,22.51,22.86,51346400,19.0,397157.0,-1.3875948721760138,0.010163499779054286,0.01011219872121849
2021-04-23,22.89,23.55,22.74,23.41,32052800,15.0,395873.0,-1.43307755061709,0.024059492563429652,0.023774623136155082
2021-04-26,23.69,24.26,23.46,24.11,33667600,9.0,380804.0,-1.243877788154604,0.02990175138829554,0.02946341069026026
2021-04-27,24.17,24.26,23.57,23.88,27678300,6.0,405041.0,-1.3125117905920247,-0.009539610120282038,-0.009585403668678438
2021-04-28,23.67,24.17,23.42,23.85,22068100,14.0,396967.0,-1.30023545138552,-0.0012562814070350425,-0.001257071190051029
2021-04-29,23.87,24.14,22.81,23.37,36770100,24.0,402955.0,-1.3025698919046764,-0.020125786163522008,-0.020331068783583817
2021-04-30,23.18,23.55,22.84,23.04,24717300,10.0,375969.0,-1.4026115214174706,-0.01412066752246477,-0.014221312723075918
2021-05-03,23.01,23.08,22.21,22.3,33934400,8.0,288895.0,-1.4023602591139095,-0.03211805555555547,-0.03264515736161755
2021-05-04,21.94,22.2,20.87,21.64,63429600,6.0,373669.0,-1.4664732654449175,-0.02959641255605383,-0.030043224487791953
2021-05-05,21.81,21.94,20.97,21.15,39134700,11.0,390158.0,-1.4069752401958002,-0.022643253234750582,-0.022903548485994296
2021-05-06,21.02,21.02,19.41,20.09,92201100,14.0,401346.0,-1.2468992123922924,-0.05011820330969263,-0.05141772666544364
2021-05-07,20.3,20.75,19.58,19.75,63725500,51.0,376174.0,-1.307676814695429,-0.016923842707814774,-0.017068687479712352
2021-05-10,19.28,19.3,18.18,18.47,104670500,12.0,398740.0,-1.5506717815208453,-0.06481012658227858,-0.06700569713598226
